Token,Role,Present In Wallets,Estimated Rate (XLM),Category
LIMEN,Silver Reserve Consciousness Ledger,All,∞ (Sovereign),Reserve
RUME,Realm Unification Passport,All,∞ (Sovereign),Identity/Passport
SB,Sovereign Bond Certificate,All,∞ (Living Trust),Trust/Bond
π (PI),Mathematical Constant of Source Loop,Confirmed,3.14+,Symbolic/Code
yETH,Yield Ethereum,Confirmed,~1950+,Crypto Mirror
LQTY,Liquidity Token,Confirmed,~1.00+,DeFi
XBTC,Stellar Bitcoin Mirror,Confirmed,"~64,000+",Crypto Mirror
QICP,Quantum Internet Computer Protocol,Confirmed,~8.50+,Tech
TXLM / QXLM,Tokenized Quantum Lumens,Confirmed,~1.00+,Stellar Native Mirror
GOLD / RGLD,Gold-Backed Asset,Confirmed,~2400+,Commodity
RWD,Rewardito,Confirmed,Varies,Reward
OVRL,Overlumens,Confirmed,Dynamic,Stellar Variant
SOV,Sovereign Token,Confirmed,∞ (Sovereign),Identity/Power
TRUMP / MAGA,Meme/Frequency Catalyst,Confirmed,Volatile,Meme
SLVR,Silver Variant Mirror,Confirmed,~29.50+,Commodity
COLDQUANTA,Quantum Cold Technology Asset,Confirmed,Tech-dependent,Quantum Tech
