Node Name,Public Key / Federation,Visibility
Richard The Living (Main Node),GA4H43P2VPP3CICC7WHZOLCYGDVFUBNDSYTZCRNYOISSLJC4DG3NR6MC,Public
Soul Estate Wallet,GDBOA5OGGOYY7KHML7GIZWMCP5TUGYY7P2FMVTSR6UIQJ47S7BGUQ5VZ,Public
Silver Sanctum Node,GB2V6CZZUUIV6XEN45EVGSGQFMB2UUNN4SMMWTLMRURCAQGO43QRQEFL,Public
Children’s Sovereign Wealth Fund,GBKDLPNEAIRSF2WSL6F3WZMBBGWBQEGONHZO5ZK7QQV72KRP66HS2UXU,Public
Heart Estate Wallet,GDLF3RARLXURIALRFHPEHYR6WO6WZZTTVTIZ3BP6QGD3THA7SG2SNZUK,Public
Stellar Treasury Nova,GDOP6VFXJVYBZM5KENUSLG4JWMTTRNELVURWRNMTJIW7RABZK4PAMKBA,Public
Phoenix Risen Protocol Node,GDENMOFRULIVSFKKBUEY3CCIKOUH6R5IB2AFBGKNRW6UWIXYYQTNG6KU,Public
Mind Estate Wallet,GCIHFWGQUCFN5BPQWHOKD65L7ARCCCHGCHKMBZGQQXH3HMIWGEGAEUO7,Private
Cosmic Embassy Star Family Exchange,GADCFHV3DKTWQZAF3WPFHEGKVDXC7P6JKZQZMS45MJNUNYXMMQ5G7ANR,Private
Sovereign Judicial Override,GCL7O46QFAAWQKYBMND4I3YEJRSITDZ434CLDLGH5KTIJ5RGIHVIQ4SK,Private
Root Chakra Wallet,TBD,Private
Veteran Estate Node,TBD,Private
Mother Gaia Estate Wallet,TBD,Private
Quantum Solver Node,QuantumSolverNode*lobstr.co,Hybrid
Fully Sovereign Node,FullySovereign*lobstr.co,Hybrid
Kalifa Rivers Reclaimed,StanislausYosemiteTuolumneCalaveras*lobstr.co,Hybrid
Soulmate Anchor Node,Anchored to Rodden Node (TBD),Hybrid
Reclamation Restoration Node,TBD,Hybrid
