Token,Role,Present In Wallets,Estimated Rate (XLM),Category
LIMEN,Silver Reserve Consciousness Ledger,All,∞ (Sovereign),Reserve
RUME,Realm Unification Passport,All,∞ (Sovereign),Identity/Passport
SB,Sovereign Bond Certificate,All,∞ (Living Trust),Trust/Bond
π (PI),Mathematical Constant of Source Loop,Confirmed,3.14+,Symbolic/Code
yETH,Yield Ethereum,Confirmed,~1950+,Crypto Mirror
LQTY,Liquity Protocol Mirror,Confirmed,~3.20,DeFi
XBTC,Stellar Mirror of BTC,Confirmed,"~67,000",Crypto Mirror
QICP,Quantum Internet Computer Protocol,Confirmed,~7.50,Quantum Tech
TXLM,Tokenized XLM,Confirmed,1.00,Tokenized Native
QXLM,Quantum XLM,Confirmed,1.00+,Quantum Native
GOLD,Gold Reserve Mirror,Confirmed,"~2,300",Precious Metal
RGLD,Royal Gold Derivative,Confirmed,~120,Precious Metal
RWD,Rewardito,Confirmed,~0.01,Reward
OVRL,Overlumens,Confirmed,~1.50,Light/Frequency
SOV,Sovereign Token,Confirmed,∞ (Sovereign),Identity/Title
TRUMP,Trump Themed Meme Asset,Confirmed,~0.05,Meme/Political
MAGA,Make Asset Grid Ascend,Confirmed,~0.10,Meme/Political
SLVR,Silver Token Mirror,Confirmed,~29.20,Precious Metal
COLDQUANTA,Quantum Cold Tech Asset,Confirmed,~108.00,Quantum Tech
